epoch,loss,ap,lr_backbone,lr_head
1,20.62193068336038,0.09254742598091967,0.001,0.001
2,7.462139396106496,0.09284420280733872,0.001,0.001
3,5.6931862129884605,0.09308018280673655,0.001,0.001
4,4.782633437829859,0.0932275853438796,0.001,0.001
5,4.174646419637344,0.09409891394987079,0.001,0.001
6,3.7501845640294693,0.09437611573753948,0.001,0.001
7,2.500552738414091,0.1670005874029912,0.0005,0.0005
8,2.473058483179878,0.2118866463786275,0.0005,0.0005
9,2.464522866641774,0.21091297579400275,0.0005,0.0005
10,2.447845627279843,0.20813570411213497,0.0005,0.0005
11,2.432099461555481,0.24985481706495413,0.0005,0.0005
12,2.4030368328094482,0.27922686096588767,0.00025,0.00025
13,2.38133503408993,0.27534648731148487,0.00025,0.00025
14,2.3672404955415165,0.32550380496536796,0.00025,0.00025
15,2.34421145214754,0.3612366203678673,0.00025,0.00025
1,2.3236416438046623,0.4376092250565878,1e-06,0.0001
2,2.268920561846565,0.44319684284957983,1e-06,0.0001
3,2.2196565060054554,0.45594652124564844,1e-06,0.0001
4,2.1856304301935086,0.4867049062887507,1e-06,0.0001
5,2.151838505969328,0.5152873810895456,1e-06,0.0001
6,2.1215363916228798,0.5270992476096119,1e-06,0.0001
7,2.0918034034616806,0.5041919130433922,1e-06,0.0001
8,2.0923520466860603,0.5084558027621264,1e-06,0.0001
9,2.08055116148556,0.5228753854569841,1e-06,0.0001
10,2.0515598935239456,0.5274838967970141,1e-06,0.0001
11,2.038977521307328,0.5218857675395536,1e-06,0.0001
12,2.019572236958672,0.5246806452361894,1e-06,0.0001
13,2.0224263668060303,0.521312733287051,1e-06,0.0001
14,2.0327129504259895,0.5314263401714023,1e-06,0.0001
15,1.9889370834126192,0.5385559932821742,1e-06,0.0001
16,1.9961809761383955,0.5283733123080021,1e-06,0.0001
17,1.978306012995103,0.5361705899738977,1e-06,0.0001
18,1.9561104634228874,0.5358757996029265,1e-06,0.0001
19,1.975168063360102,0.5350172685113105,1e-06,0.0001
20,1.965483479640063,0.5332224942924888,5e-07,5e-05
21,1.9569247680551864,0.5393715733350439,5e-07,5e-05
22,1.9563840136808508,0.5357001803409157,5e-07,5e-05
23,1.944748159717111,0.5398686427878054,5e-07,5e-05
24,1.9411632032955395,0.541813268507754,5e-07,5e-05
25,1.93062640989528,0.5398474689273579,5e-07,5e-05
26,1.913118821733138,0.5407373280606329,5e-07,5e-05
27,1.9397390169255875,0.5407828175569531,5e-07,5e-05
28,1.9204536290729748,0.5390071724874544,5e-07,5e-05
29,1.9332815548952889,0.5370284187546385,2.5e-07,2.5e-05
30,1.9335523037349476,0.5368061439556828,2.5e-07,2.5e-05
